,index,Activation,Simulation,Test_RMSE,ExLipBaB,runtime_Exlipbab,Layerwise_Bound,runtime_layerwise,Layer_1_Norm,Layer_2_Norm,Layer_3_Norm
16,0,ReLU,16,0.09915050864219666,1.0058372567490192,0.02796459197998047,2.5651045,0.00012135505676269531,1.6076255,1.4254762,1.1193353
17,0,ReLU,17,0.10047687590122223,1.0014888910446786,0.023706674575805664,3.053212,0.00014472007751464844,1.8633416,1.3986804,1.1715099
18,0,ReLU,18,0.10113856196403503,1.045035776482385,0.028196096420288086,3.6448562,0.00012445449829101562,1.9241185,1.3076098,1.4486731
19,0,ReLU,19,0.09952687472105026,1.4231353638590234,0.028482913970947266,4.45826,0.00012493133544921875,2.077076,1.5504388,1.3843898
20,0,GroupSort_numGroups3,0,0.1040719598531723,1.0054670304401139,0.032611846923828125,1.5839722,0.00011968612670898438,1.6183333,1.0467588,0.93504596
21,0,GroupSort_numGroups3,1,0.10873162746429443,1.0117835530445913,0.02684760093688965,1.700526,0.00015497207641601562,1.5177969,1.2155831,0.92169017
22,0,GroupSort_numGroups3,2,0.10255342721939087,1.0202845197913828,0.03220677375793457,1.6262026,0.00020384788513183594,1.4480838,1.1854155,0.9473498
23,0,GroupSort_numGroups3,3,0.0954982340335846,1.0103895005748373,0.023294448852539062,1.4912689,0.0001583099365234375,1.4816731,1.191951,0.84439397
24,0,GroupSort_numGroups3,4,0.10446406900882721,1.0356219909687125,0.03205442428588867,1.9442992,0.00014162063598632812,1.5504869,1.1282804,1.1114193
25,0,GroupSort_numGroups3,5,0.09781919419765472,1.029387532426105,0.02507472038269043,1.57268,0.00011873245239257812,1.6338787,1.0195177,0.944117
26,0,GroupSort_numGroups3,6,0.10233934223651886,1.0151928786285183,0.0247955322265625,1.4795842,0.0001595020294189453,1.1624318,1.2082825,1.0534252
27,0,GroupSort_numGroups3,7,0.10122203826904297,1.010366670695151,0.023177146911621094,1.20021,0.0001385211944580078,1.1791153,1.0448639,0.9741846
28,0,GroupSort_numGroups3,8,0.09905228763818741,1.0265710373708092,0.031424760818481445,1.3108675,0.0001304149627685547,1.263828,1.013517,1.0233867
29,0,GroupSort_numGroups3,9,0.09847245365381241,0.9934927984361045,0.03101038932800293,1.614786,0.00017952919006347656,1.5915456,1.0598482,0.95730925
30,0,GroupSort_numGroups3,10,0.3132505416870117,0.11071885316875053,0.028757810592651367,0.8949795,0.00019240379333496094,1.6798991,1.1385206,0.46793875
31,0,GroupSort_numGroups3,11,0.10141269117593765,1.192371083629975,0.03486895561218262,1.6412045,0.00011539459228515625,1.5827358,1.1346632,0.91387606
32,0,GroupSort_numGroups3,12,0.10509546101093292,1.0501385371857241,0.026261091232299805,1.722308,0.00016260147094726562,1.7293965,1.0993532,0.9058974
33,0,GroupSort_numGroups3,13,0.09629657864570618,1.0006664584175022,0.027777910232543945,1.7971816,0.00019431114196777344,1.815089,1.1727618,0.84427553
34,0,GroupSort_numGroups3,14,0.09450345486402512,1.0300203883969103,0.023966550827026367,1.72697,0.00011849403381347656,2.0595717,1.0837777,0.7736912
35,0,GroupSort_numGroups3,15,0.10194279253482819,1.0338132617813014,0.02109384536743164,1.3597,0.00012159347534179688,1.1397377,1.175608,1.0147886
36,0,GroupSort_numGroups3,16,0.0987323448061943,0.9954227887994973,0.024422645568847656,1.757222,0.00011849403381347656,1.4571218,1.1562252,1.0430096
37,0,GroupSort_numGroups3,17,0.10042864084243774,1.0055958835366927,0.030308008193969727,1.510576,0.00019121170043945312,1.6021398,1.0096049,0.9338792
38,0,GroupSort_numGroups3,18,0.10136320441961288,1.4893090648939422,0.02031540870666504,2.2198236,0.00011754035949707031,1.8383679,1.2392888,0.97434664
39,0,GroupSort_numGroups3,19,0.09888418018817902,1.0534251872735139,0.023941516876220703,2.3374095,0.00011992454528808594,1.9874754,1.3226439,0.88918084
